title,link,text
CLERGYMEN REPLY IN BOSTON DISPUTE Protestants and Archbishop Differ About Abortions,https://www.nytimes.com/1971/01/03/archives/clergymen-reply-in-boston-dispute-protestants-and-archbishop-differ.html,BOSTON Jan 2  The ecu menical spirit was somewhat shaken here this week as sev eral Protestant leaders reacted sharply to an attack on abor tion supporters by the Most Rev Humberto S Medeiros Roman Catholic Archbishop of Boston  Archbishop Medeiros suc cessor to the late Richard Car dinal Cushing as the head of the Boston Archdiocese said last Sunday that efforts to lib eralize abortion laws were a step backward and a new barbarism In a strongly worded rejoin der the Rev Robert N West international leader of the Uni tarian Universalist Association criticized the Archbishop for hurling epithets such as bar barian and enemies of life It is unrortunate Mr West said that opponents of reform have been reduced to frantic and fanatic namecalling In a milder criticism the Rev Arthur Walmsley general sec retary of the Massachusetts Council of Churches said that the council regretted the par ticular way in which the Arch bishop had expressed his opin ion Rabbi Roland B Gittelsohn leader of Bostons Temple Is rael said that the Archbishop speaks as if all moral rights were on one side of the ques tion The Massachusetts Council of Churches also said it was seek ing an immediate meeting with the Archbishop to discuss the abortion issue Later however a council spokesman said the group was dismayed over its inability so far to arrange such a meeting There was no further com ment on the issue from Arch bishop Medeiros An editorial this week in The Pilot the official archdiocesan newspaper expressed surprise over the reaction to the Arch bishops remarks noting The Catholic position on abortion should be by this time famil iar to most Americans Tribute to Progress In this ecumenical age the editorial said one might have expected that those who wished to comment on the Archbish ops words would have at least waited until they were able to read the entire text before they denounced it as did one as frantic and fanatic The editorial said that others who issued statements had done so in a reasonable manner This is in itself a tribute to the progress we have made lo cally in religious understanding and brotherhood it declared A spokesman for the Council of Churches said Thursday that most Protestant leaders had de cided not to discuss the issue further in public They tend to believe he said that their inability to meet with the Archbishop was large ly due to his being new on the job and deeply involved in es tablishing his own administra tive structure
Reader's Report,https://www.nytimes.com/1971/01/03/archives/mrs-blood-by-audrey-thomas-200-pp-indianapolis-and-new-york-the.html,Awaiting a difficult child birth in a West African hos pital the narrator of this bril liant interior monologue keeps sifting through her psyche in pursuit of past nightmares I am covered with memories like barnacles she reflects in one reverie and most of the mem ories are guilty ones Guilt for not having loved her father more guilt for a past abortion guilt for having killed a pet rab bitpast sins surface in frag ments of remembrance  Mrs Blood an appropriate ly symbolic alias wears her nerve ends outside her skin like an updated Katherine Mansfield heroineand responds intense ly to her external environment and to her subconscious The effect is to create a vivid im pression of a personality in cri sis Amid the jumble of child hood recollections of college Smith of a trip to Spain of work in a hospital looms the spectre of an old torment that dissolves eventually into the new one A spectacular tour de force this
Undoing the Abortion Law,https://www.nytimes.com/1971/01/04/archives/undoing-the-abortion-law.html,No recent law has been so mutilated in its first six months as New York States abortion statute the most ad vanced in the nation The wrecking process may be continued in the next Legislature when Republican leaders plan to introduce such drastic amend ments that little may be left of this longsought right of womenthe right of choice in childbearing  The wrecking began on Oct 19 when the New York City Board of Health incorporated its own abortion rules into the Health Code tantamount to law and enforceable by fines and jail Although the State Legislature had legalized all abortion in the first 24 weeks of pregnancy by a licensed physician the board bypassed the lawmakers and restricted abortions to hospitals and hospitalaffiliated clinics and clinics with such expensive equip ment that few could afford it Without a word of medical evidence to support these restrictions the board thus wiped out a carefully selected list of small clinics and physicians who have safely handled thousands of cases for the Womens Center and other referral services The National Association for Repeal of Abortion Laws promptly established an expert panel including Manhattan Borough President Percy Sutton and other legislators to examine the boards evidence Not one board member showed up or even presented a statement As a result of the boards restric tions abortion care in city hospitals has become a bureaucratic jungle whose main victims are the poor Re buffed and degraded by hospital after hospital they must wait an average of three to four weeks for an abortion while anyone with 600 or 700 can enter a proprietary hospital immediately These delays are not only psycho logically injurious to the patient but force her into the increased risks of late abortionthe saline injection technique instead of the simple five minute suction method commonly used in pretwelveweek pregnancies City and State Forces Work Against Programs To Give Women Choice Despite glowing reports from city hospitals the Rev Howard Moody of the Clergy and Lay Advocates for Hos pital Abortion Performance calls their record a tragic game of illusion and confusion The most unfortunate aspect is the refusal of officials to end the logjam with one proved solution outpatient clinics at every city hos pital for pretwelveweek cases The outstanding example of such safe efficient and inexpensive clinics is Dr Hale Harveys Womens Medical Group in Manhattans East Seventies a private service with a 200 top soon to be cut to 100 and many applicants accepted free The newer Womens Medical Center on Irving Place sets a 100 top Harveys doctors now per form eighty abortions a day almost as many as all city hospitals combined Since the Board of Healths only defense in banning small clinics is its claim to superior inhospital medical standards Harveys recent study re buts this claim The Health Services Administration announced a medical complication rate in hospital of 125 per 1000 Harveys complications were only onethird this rate in his first 4000 cases All hospitals have had four abortion deaths Harveys clinic has had none As if the new law had not been impeded enough a drive led by the Catholicbased Right to Life groups who spent an estimated 300000 on Washington States abortion refer endum but lost and the Conservative party abetted by Republican leaders aims to cripple the law with amend ments New repeal bills some stronger than New Yorks are given an excellent chance of passage in Arizona Iowa Michigan and Minnesota in 1971 With this steady march toward abortion repeal including Alaska Hawaii and Washington which almost rate with New York it would be a tragic de feat for social reform if the New York law were slashed to pieces after only six months of trial
Pontiff Exhorts Bishops on Teachings,https://www.nytimes.com/1971/01/05/archives/pontiff-exhorts-bishops-on-teachings.html,WASHINGTON Jan 4Pope Paul VI called on the worlds Roman Catholic Bishops today to rededicate themselves to teaching the traditional funda mentals of the faith  In a 4600word apostolic exhortation made public here by the National Conference of Catholic Bishops the Pope said that many Catholics were trou bled in their faith by an ac cumulation of ambiguities un certainties and doubts about its essentials Pope Paul asked the bishops to carry out their duty of hand ing on the faith in its fullness by teaching the word of God the whole word of God He called this a grave and urgent duty The message reaffirmed the Popes adherence to conserva tive and fundamental interpre tations of church teachings The message was dated Dec 8 to coincide with the fifth an niversary of the closing of Ecumenical Council Vatican II 196265 The Pope noted that the Council had brought about changes in the methods of pre senting what the Church teaches as unchangeable truths Fears Betrayal of Truth However he said bishops should be cautious lest this necessary effort should ever betray the truth and continuity of the teaching of the faith We must beware in particu lar he added lest an arbi trary selection should reduce Gods design to the limits of our human views and restrict the proclaiming of His word to what our ears like to hear excluding on purely natural criteria what does not please contemporary taste The Pope reemphasized a number of essentials of the faith including belief in the Trinity the real presence of Christs body and blood in the eucharist the church as an in stitution of salvation and the value of prayer and the sacra ments Among other such essentials he cited the moral responsi bility concerning for instance the indissolubility of marriage or respect for life The allusion was to divorce birth control and abortion While silence gradually ob scures certain fundamental mysteries of Christianity he said we see manifestations of a tendency to reconstruct from psychological and sociological data a Christianity cut off from the unbroken tradition which links it to the faith of the apostles and a tendency to ex tol a Christian life deprived of religious elements Pope Paul expressed encour agement and support for theo logians and scriptural scholars who are taking into account progress made in human sci ences and the questions the lat ter pose to the mind of the be lievers But in face of the ravages being inflicted upon the Chris tian people by the diffusion of venturesome hypotheses and of opinions that disturb the faith he said we have the duty to recall with the Council that true theology rests upon the written word of God together with sacred tradition as its per petual foundation The Pope exhorted the bishops not to be reduced to silence by fear of criticism However necessary the func tion of theologians he added it is not to the learned that God has confided the duty of authentically interpreting the faith of the church That faith is borne by the life of the peo ple whose bishops are responsi ble for them before God Time to Be Heard It is for the bishops to tell the people what God asks them to believe Now is the time for us to take the means to make our selves heard the Pontiff de clared
Light Needed in Albany,https://www.nytimes.com/1971/01/05/archives/light-needed-in-albany.html,There is pervading darkness in Albany as the State Legislature prepares to convene tomorrow The issues confronting the State of New York are numerous massive and yet in their exact size and shape uncertain  There has been no briefing by Governor Rockefeller on his budget this year the first year of his fourth fouryear term as in years past There have been only vigorous demands that the Administration in Washington and the Congress enact into law a generous scheme of Federal revenuesharing While the outlines of the states projected budgetary gap are still dimly defined they are clear enough to indicate the states desperate fiscal situation Some Republicans say the gap between projected expenses and projected revenues will be 500 million Some Democrats double this figure Money looms as the sessions key issue There are more questions than answers at this stage How much money does the state need How far short do its pro jected revenues fall What are the possible sources additional tax revenues The income tax The sales tax Both Perhaps next to money statelocal relations bulk the largest in importance Governor Rockefeller who wants no strings on the funds he hopes to get for the state from Washington seeks to impose additional strings on state money going to localities He has already initiated new audits of programs aided by state funds in New York City He may try to attach restrictions on the new state money due localities under the statelocal revenue sharing scheme adopted last year Besides money and statelocal relations a host of other vital issues crowd for attention housing how to build it health care how to provide it welfare how to rational ize it reapportionment how to accomplish it equitably abortion reform how to preserve it transportation how best to aid both subways and railroads legislative reform and electoral reform how to achieve them The lack of official Census tracts may prevent this session from considering reapportionment it could be come the business of a subsequent special session Family planning summarily shunted aside by the Senate after passage by the Assembly may find more sympa thetic attention now that the Federal Government has approved its own vastly expanded program These appear to be the major issues They are enough to keep the State Legislature busy They need better identification however better definition The course of leadership would be for Governor Rockefeller to throw some light on these issues in his opening address
Men in the News,https://www.nytimes.com/1971/01/06/archives/article-1-no-title.html,ALBANY Jan 5 There may be as many diverse ele ments on his side as my side maybe more but he keeps them all together Hes a hell of a leader These remarks were once made by Senator Joseph Zaretzki the Demo cratic minority leader about Senator Earl William Brydges the Republican majori ty leader and the most powerful man in the Legislature While Mr Zaretzkis remarks may smack of some of the clubbiness that exists among the older members of the Legislature regardless of party affiliation they also succinctly convey a sense of the stature Mr Brydges en joys in the Senate where he has served since 1949 Mr Brydges a 65yearold lawyer from Niagara Falls is firmly in control of the 34 Republicans in the Senate and can does and will again easily thwart that bodys 24 Democrats Part of the Senators hold on the Republicans is as Mr Zaretzki said simply through affection Another part is that Mr Brydges sparingly uses the prerogatives at tached to being majority lead er and temporary president of the Senate Rather than speaking on each major bill up for a vote Mr Brydges frequently dele gates the summation speech to a Senator who had some connection with the legisla tion Certainly a key to his power lies in his controls or the dis pensation of large sums of money to the 31 standing committees of the Senate and his right to appoint the stand ing committee chairmen most of which appointments are eagerly sought after for they provide legislators with added funds Mr Brydges in addition to his salary and senatorial lululump sum in lieu of expensesreceives an addi tional 21000 lulu each year as majority leader An Interesting Life A man of medium height and weight with a penchant for sartorial correctness and an everpresent cigarette held like a teachers pointer in his left hand Mr Brydges talks with fervor about the Senate the only political job he has ever held He speaks slowly with a gravelly quality to his voice and his blue eyes can turn quickly from frostiness to a twinkle He likes to pepper his floor speeches with Biblical references poetry and apho risms the works of Kahlil Gibran being among his re cent favorites A Roman Catholic a stanch foe of abortion reform and an equally stanch advocate of state aid to parochial schools Mr Brydges is ran kled by the criticism leveled at him by New York City politicians and editorial writ ers who think as he once put it Im some sort of Nean derthal A man who likes to relax over an icecold martini fol lowed by a hearty corned beef and cabbage dinner sometimes aids his digestion by singing show tunes or Irish airs Mr Brydges was born in Niagara Falls in 1905 and was educated in the public and parochial schools of that city He attended Niagara University and was gradu ated from the University of Buffalo Law School in 1926 Since his graduation he has practiced law and is a member of the firm of Orr Brydges Orr  Dowd of Ni agara Falls  Mr Brydges and his wife Eleanor have seven chil dren all of them grown The Brydgeses plan to leave their big house in Wilson a quiet town on the shores of Lake Ontario and take an apartment in nearby Niagara Falls
ROCKEFELLER SAYS STATE ‘MUST TIGHTEN ITS BELT’;,https://www.nytimes.com/1971/01/07/archives/rockefeller-says-state-must-tighten-its-belt-silence-on-taxes.html,ALBANY Jan 6Governor Rockefeller warned the Legis lature today that the state faced a bleak fiscal situation  This is a time when a gov ernment just like a family must tighten its belt and live within its resources the Gov ernor declared in his yearly state of the state message as the Legislature convened for its 194th annual session Mr Rockefeller backed up his plea for austerity by pre senting a legislative program that broke no new ground and involved no major rise in state spending Explains the Increases The Governor said that even without major new programs state expenditures would jump 13billion over the current budget of 71billion because of mandated increases Among these are increases in state aid to schools and cities and raises for state employes Although the gap between revenue and expenses in the coming fiscal year has been estimated at 400million to 1 billion the Governor was con spicuously silent on the possi bility of tax increases which most legislators believe are in evitable Mr Rockefeller said he would defer decisions on the state financial plan until after Presi dent Nixon spelled out his pro posals for Federalstate rev enuesharing in his State of the Union Message this month Met With President Mr Rockefeller conferred with the President yesterday and a source close to the Gov ernor said later that Mr Nixon had assured the Governor of some new money from Fed eral revenuesharing Mr Rockefeller had flatly ruled out a tax increase in his 1970 message which was de livered against a background of the Governors impending can didacy for reelection The Governor was also silent today on New York Citys fiscal and labor problems He pro posed efforts to cut court con gestion in the city to halt the moves of corporate headquar ters from the pity and to seek Federal selection of the citys for a pilot project under Presi dent Nixons proposed family assistance program which would guarantee a minimum in come for welfare families None of these proposals would involve any major expen diture of state money In his message Mr Rocke feller proposed the following things Establishment of a com pulsory state health insurance program Support for a constitutional amendment permitting the es tablishment and financing of a community development pro gram to stimulate urban re newal Support for a constitutional amendment repealing the so called Blaine Amendment bar ring state aid to churchaffili ated schools Support for a constitutional amendment lowering the voting age to 18 Amendment of the abortion law to prohibit abortions after 20 weeks of pregnancy instead of the present 24  A substantial but un specified increase in penalities for tax evaders as a means of prosecuting leaders of organ ized crime Revision of the drug laws Reduction of court conges tion The three constitutional amendments for which Mr Rockefeller urged support were approved by the previous Leg islature Such amendments re quire approval by two Legisla tures and then by voters in a referendum The compulsory health insur ance program would require virtually every worker in the state to join a health insurance plan with employer and em ploye splitting the premium costs Similar proposals have died in the Legislature for the last four years Under the community devel opment program the state could provide low interest funds for the construction of housing community centers and commercial buildings as part of urban renewal pro grams A 1billion bond issue to provide financing would also require voter approval next fall In calling for final legisla tive approval of the Blaine Amendment repeal the Gov ernor did not mention state aid to parents for parochial school tuition although proponents of parochial school aid are now backing this legislation rather than the repeal of Blaine Mr Rockefeller said he wanted the states narcotics laws to embody penalties that would reflect increased knowl edge as to the danger of par ticular drugs and [that would] provide punishment more close ly relatable to the harm caused to society The major result of this stillgeneral proposal is expected to be a reduction of penalties against users of soft drugs such as marijuana and barbiturates To cut court congestion par ticularly in New York City by creating a narcotics court Mr Rockefeller proposed increas ing the number of judges in various courts and setting up administrative tribunals such as those now handling many traffic violations in New York City Under recent Federal legisla tion upheld by the Supreme Court those under 21 may vote only for national offices The law went into effect last Fri day The state constitutional amendment would apply to all elections The message today was in sharp contrast to the Gover nors message last year a gu bernatorial election year Although Mr Rockefeller also emphasized the states fiscal problems in 1970 the major thrust was positive with such rallying cries as to eliminate poverty and injustice and to make the opportunity for good education and good health a universal right Any such calls in todays message were muted and sub ordinate to the overriding theme of belttightening The somber mood of the ad dress was reflected in the re action of legislators who ap peared reconciled to a period of retrenchment and wrestling with tight budgets The states three top Demo cratsController Arthur Levitt Senate Minority Leader Joseph Zaretzki of Manhattan and Assembly Minority Leader Stanley Steingut of Brooklyn withheld voicing their tradi tional exceptions to the Gov ernors message Mr Zaretzki and Mr Steingut like the other legislative leaders were reelected today as expected Touching other issues in his 10minute address in an Assem bly chamber crowded with egislators staff personnel rel atives and friends the Gov ernor also proposed the follow ing A final decision be made on the longdiscussed fourth jetport for the metropolitan area A Relocation Assistance Corporation be set up to pro vide loans for laidoff defense workers to move elsewhere to find employment The maximum loan for col lege tuition be increased from 7500 to 10000 All open dumps and incin erators be eliminated by Jan 1 1973 and that the state in tervene in controversies over power plant sites
Pennsylvania Abortion Law Voided by 2 County Judges,https://www.nytimes.com/1971/01/07/archives/pennsylvania-abortion-law-voided-by-2-county-judges.html,PITTSBURGH Jan 6 AP Two Allegheny County judges ruled today that Pennsylvanias abortion law was unconstitu tional  The ruling by Judges Loran L Lewis and Anne XAlpern came in the case of three women who challenged the 1939 law be cause it prohibits illegal abor tions and implies there can be legal abortions without specify ing them The judges also adjudged as void District Attorney Robert Duggans subpoena of all 1970 abortion records at Magee Womens Hospital The women conceded they were among 900 who had abortions performed at the hospital in 1970 but con tended the hospital records were privileged information Mr Duggan subpoenaed the hospital records last August to substantiate his charge that three Magee Womens physi cians conspired to commit il I legal abortions
Judge Permits a Subpoena Of Hospital Abortion Files,https://www.nytimes.com/1971/01/07/archives/judge-permits-a-subpoena-of-hospital-abortion-files.html,State Supreme Court Justice Hyman Korn ruled yesterday that Attorney General Louis J Lefkowitz could subpoena the abortion records of a referral agency and a hospital in the course of an investigation  Justice Korn made the finding in a suit by the Abortion In formation Agency of 160 West 86th Street to quash or modify a subpoena from Mr Lefkowitz The Justice ruled similarly in an action brought by Wicker sham Hospital 133 East 58th Street Mr Lefkowitz is investigat ing abortion referral services as a result of complaints of decep tive advertising He is also looking into the role of hospi tals clinics and physicians in fee splitting
New College Trend: Women Studies,https://www.nytimes.com/1971/01/07/archives/new-college-trend-women-studies-new-trend-at-college-women-studies.html,A new academic discipline is rising on the nations cam puses women studies  More than 60 colleges and universities around the coun try apparently taking a hint from the black studies move ment are offering women studies courses this year A year ago only a handful of schools offered such courses The trend toward women studies which has affected such schools as Yale Cornell Princeton Wellesley and Northwestern appears to have been generated not only by the womens liberation move ment but also by pressures from students teachers and alumnae who believe women are not getting fair academic treatment The trend has encountered some opposition however from faculty members who believe such fields as black studies and women studies are divisive and academi cally unsound Women as a Group In general women studies courses treat women as a group that has its own his tory a unique role in society and special problems The courses involve such matters as the contributions of women to science history literature and political science discrim ination against women and the treatment of women in different societies At San Diego State College in California 10 elective courses are offered Fifty women and 20 men are en rolled in a course called Con temporary Issues in the Lib eration of Women under the direction of Dr Roberta Salper 31 years old a ded icated womens liberationist The class examines such is sues as abortion divorce laws contraception sexual attitudes child care and the role of minority group women At Princeton where women were admitted last year a similar course explores the impact of women on such social problems as drugs racism unemployment and pollution Seventyfive per cent of the students in the course are men An idea of the purpose of such courses is provided by the San Diego State programs statement of purpose which declares that the movement is an attempt to repair the damage done to women by the omissions and distortions of traditional education and to illustrate at least one way of releasing the power and potential of more than half the population of this coun try If it hadnt been for wo mens lib protests said Dr Salper from her West Coast office we wouldnt have this program at San Diego Stephanie Serementis a neurobiology major at Cor nell believes there is discrim ination against women stu dents I fight to be recognized In class she said and if Im a success the teacher thinks I must be an excep tion to the female race At San Diego State about 50 male professors recently attacked that schools pro gram as a radical innova tion At Cornell a questionnaire on the issue was distributed to the faculty last spring Half of the 185 who responded supported the program and half opposed it An engineering professor whose name was not dis closed by the university com mented on the questionnaire The idea is slightly absurd Why dont you stop these attempts at fragmentalizing higher education and devote yourself to real scholarship A humanities teacher called the program a disaster Black studies is divisive enough he said Female studies would inevitably be aimed toward political goals which I am far from sharing Other authorities disagree There are compelling rea sons right now for an intel lectual focus on women said Dr Jennie Farley aca demic coordinator for female studies at Cornell Take a problem like the population explosion she said If we are to encourage women to have fewer chil dren we must give them some satisfactory alternatives to being only housewives and mothers Ella Kusnetz a Cornell senior said women studies were valuable to her as a student I wish they had been of fered when I was a fresh man she said Ive never been as interested in academ ics Female studies is a new reference I have some iden tity now as a woman At Douglas College of Rut gers University a womens school a substitute for freshman English is Edu cated Women in Literature a course that concerns the portrayal of women in mod ern American literature The class led by Dr Elaine Show alter 29 recently discussed Mary McCarthys description of women in The Group her novel about eight Vassar graduates The direction the new courses will take is unclear said Florence Howe assist ant professor of English at Goucher College who is con sidered an authority on women studies by faculty members throughout the country Nonetheless she added the courses are multiplying rapidly Title Is Vague Miss Howe is the director of the Modern Language Asso ciations Commission on the Status of Women in the Pro fession which is investigat ing the equality of women teachers She has established a clearing house at Goucher for information on women studies The enrollment of men in the course at Princeton is at least partly a result of its vague title Political Mod ernization Originally I thought the course was about underdevel oped nations said Robert P Thomas a bearded sophomore from Washington It was a complete Shock find out what this was all about Al though I was a bit skeptical I decided it would be a good time to find out what wom ens lib is all about The majority of guys are all for womens lib as re suit of taking the course he said In a recent seminar involv ing nine students eight of whom were men the instruc tor Dr Kay Boals 26 posed a question about Betty Frie dans The Feminine Mys tique Friedan Book Discussed Did you find Friedans argument that theres no such thing as a happy housewife true she asked Of course not replied Mr Thomas But Friedan mentioned there were large numbers of suicides among the house wives she studied argued a classmate In the US women either have to do their thing with grandchildren or go out and get work observed Mr Thomas But so many women over 40 cant get interesting jobs said another student Look its not just women who cant find interesting work asserted Jonathan Winder I worked in a ware house this summer where all these guys did was rip out slips from other forms It may be chauvinistic to say but I dont think women ever had it so good The question isnt to de cide whos oppressed but to end oppression of both men and women said Dr Boals However that man ripping papers has it better than a woman caught in the mysti que because her job is never finished The one woman student Sherri Peitz a junior re mained silent throughout the Class In an interview later she explained I generally feel intimidated being the only girl and therefore find it dif ficult to say what Im think ing
