title,link,text
Moslems Back Birth Control,https://www.nytimes.com/1972/01/01/archives/moslems-back-birth-control.html,rabat morocco dec 31 reuters first islamic conference family planning rule birth control permissible moslem law sterilization abortion prohibit accord statement issue today fiveday conference ganized international plan parenthood federation
Colleges Expand Modern Psychiatric Aid,https://www.nytimes.com/1972/01/01/archives/colleges-expand-modern-psychiatric-aid-colleges-expand-modern.html,college health service long viewed student good doling aspirin patch athlete diag nose common cold emerge leading counsel ing treatment center student sex psychiatric problem majority cam pu health center still main tain conservative loco parentis approach student health dozen large small school around country begin provide modern service sex counsel contraception abor tion referral venereal disease treatment help drug psychiatric problem trend generate sur prisingly little controversy partly administrator believe service important student effec tive functioning partly cause parent seem glad number universitiesfrom university cali fornia berkeley uni versity nebraska prince tonare involve trend new health plan yale uni versity represent many consider epitome revolution scope service offer college student since july 1 yale student faculty member employ family serve prepaid group practice house new 55million health center offer veri ice include obstetrics pe diatrics sex therapy master johnson type partial explanation approach dr daniel rowe jackofalltrades pediatri cian oversees opera tion say interview day feel uni versity pioneer deliver new method medical care say dozen group visit new center receive letter daily uni versities inquire yale program yale dozen colleges around coun try much innovation student health care come sexrelated area meet need create change student life style mores yale sexrelated service date 1969the first year coeducation dr mr philip sarrel gynecologist social worker respec tively innova tor area estimate since visit 75 per cent yale graduate woman vasectomy available yale like many large university several year supply student morningafter pill emergency contraception well wide variety conventional birth con trol aid fall yale added vasectomy list avail able option addition dr sand work mental hygiene department yale em ploys one fulltime four parttime gynecologist nursemidwife yale one dozens college across country recently hire gynecolo gist least parttime basis several school also open birth control clinic university califor nia berkeley contraceptive clinic open two year ago visit 4000 6000s student year university nebraska handle 50 60 contraceptive case week even charge 15 new york university sched uled open contraceptive clinic soon change time cite university michigan set separate gynecology clinic last fall visted 900 student sep tember boston uni versity gynecologist hire october work six hour week already book ud month advance explain hire gynecologist dr samuel e leard boston director stu dent health service say do recognition change timesif start dorm wide open add problem along gyne cological line barnards director dr harri ette mogul say service offer birth control abor tion referral would rather informa tion dispense sure accuracy student search surprisingly little parental opposition de cisions like barnards similar program uni versity california los geles describe parent enter freshman last sum m reaction highly favorable one father mark thank god pill daughter pro tection smooth introduction contraception university michigan aid unusual way student newspaper michigan daily fear publicize fact contraceptive give minor would stir opposition among conservative board regent newspaper choose run story contraceptive clinic student reaction change service mix grateful something available many complain long wait appointment see gynecologist case high cost duke university charge 25 pelvic examination birth control prescription ucla cost include educational session 22 several institution strap tight midget student health find charge contraceptive service even though health service free way could make available princeton uni versity pay cost student visit three local gynecolo gists one coed remark there general feel examination cursory doctor dont really care theyre dis pense contraceptive institution offer preg nancy test without charge number college offer sort abortion counsel ing usually form ferral agency necessary contact university georgia one coed turn health service find unwanted preg nancy say really help terrible tune really seem like care know think really time college health service upgrade service related student physical wellbeing also do much expand improve care give emo tional health nearly three dozen college question repent recently et panded psychiatric staff pressure ease university colorado one several campus psychiatrist call night weekend dr james e marquardt administers colorado health center say aroundtheclock service necessary suicide second fre quent cause death college age group michigan state university maintains seven branch counsel service around cam pus student emo tional problem find help easily many institution also train dormitory counselor handle uncomplicated prob lems barnards psychological unit recently go battle student anxi ous freshman english composition assignment volved write personalessay attack instructor recog nize unfair university pres sure try get cor rected dr mogul explain part drug relate problem handle within general psychiatry program although many col leges drug education pro gram organize drug treatment facility city college nevi york cently award 50000 grant city university hire two drug counselor estab lish drug abuse program improvement college health service come despite shortage fund even though de livery health care raison detre educational institution college change prompt student pressure others initiate new enlightened administrator attract young dedicated staff generation college health service tend staffed old mengen eral practitioner want partly retire preasures private practice 37yearold dr john r curtis take university georgia three year ago average age four doctor staff 65 two dozen staff member add since 20 year young dr marquardt colorado remark doctor find college campus stimulate young doctor come work college center dr mogul barnard note doctor begin see campus health center chance help young people develop good doctor patient relationship many frist experience doctor excite field potential far good thing add top metal start yale 9000 stu dent 9000 member college community al ready belong new health plan dr rowe say medical ly speaking student interesting theyre healthy doc tor tend view job babysitting operation stimulate medical service however include pa tients infancy old age dr rowe believe yale find goad way attract top notch medical staff despite obvious progress make many institution stu dent still find plenty cause complaning qual ity care dormi tory food automatically la beled garbage student hard time find good word say college health care although com plaint ring truth many reflect basic lack understand medi cine stu dent find hard accept fact still noth ing symptomatic relief flu common cold dr rowe point college student need mother substitute tell gargle stay bed
My Life and Times By Henry Miller. Illustrated. 208 pp. New York: Playboy Press. $17.95.,https://www.nytimes.com/1972/01/02/archives/my-life-and-times-by-henry-miller-illustrated-208-pp-new-york.html,spent sedative summer reread henry miller sedative yes inevitably since fate revolutionary writer encompass supersession shock tropic cancer get hold smuggle copy late thirty merely charm redolent paris coffee gauloises alike aromatic theyve since war genuine vie de boheme physical act love fresh french invent miller unbuttoned fly tore open placket fiercer gust lawrence still mother boy joyce let language get way today naked generation learn nearly everything himeverything say except bookishness capacity recapture innocence sense wonder sense word remember fiist reading burroughs naked lunch feel one particular element junkie nightmare representedfor leastthe limit erotically shock man copulate another man skull first drill hole shock perhaps appropriately merely cerebrally shock amuse even sort example shock one might give lecture lot shock administer today youthful news sheet order permit shock let get shall shock today consequence miller open door needless say intend tropic rosy crucifixion try erotic arena convey simple gross pleasure straightforward heterosexual coition never really do direct language rabelais make joke boccaccio use elegant metaphor wearisome victorian chronicle prowess possess detail lack gusto honest literary man try millerian scale millerian intensity gnaw scruple one tell truth copulation one merely describes mechanic miller never doubt one unfortunately share view pornographer miller never write pornography pornography depersonalize create abstract paradise steven marcus call pornotopia emotion lust event orgasm inhabitant animate phallus vulvae miller book real people gun handbag need money habit write poetry wall act proceeds appetite big meal afterward frequently temporary resistance love love right word french yes miller whose origins german sometimes temptation submit goetbean transport get wat pure amour miller always present naked thinking man read write book capable prodigious engorgement never view synechdochepart whole heavily erotic yes pornographic never many woman dislike book especially militant donna giovannas like vengeful brigid brophy go far essay miller cast doubt basic sexual endowment right think though miller respect lady like ana nin help make woman sexual instrument come woman human entity ingenuous say never think woman always look something else well autobiographical book mean booksdeliver little much contempt womenthe classic postcoital tristitia boorish puritanical transfer object spent desire vestigial victorian horror woman actually like sex quite much men still 80 go love woman number wife though patriarchal standard compare well average film star present wife japanese fond japanese friend live call miller glorifier phallus chronicler phallic event enough long autobiography sex black spring think one fine evocation low urban life american literature patriot say miller fourteenth ward brooklyn raise rest united state doesnt exist except idea history literature patriotism express almost myopically close render world cancer dropsy cirrhosis liver insanity thievery mendacity buggery incest paralysis tapeworm abortion triplet idiots drunkard neerdowells fanatic sailor tailor watchmaker scarlet fever whooping cough meningitis run ear chorea stutterer jailbird dreamer storyteller bartender finally uncle george tante melia though disavows either literary aim learn technique miller belongs logorrheal tradition rabelais sterne burroughs become wordy bore find necessary prophesy great american disease call vatism dahlberg even mailer miller start talk love amour feel like give franc go brothel course need come sooner rather later lechery juicy roast pork kartoffellelosze require elevation miller best get hellenic phase curiously german find almost hyperbolic fulfillment greecereal home real climate notesand best testimony moderate cleanse unclotting influence find colossus maroussi war send back america destiny sage big sur appear one america gloriesfulfilled 50 book behind 80th birthday last sunday box day two work film stupidly confused skinflicks playboy tribute picture book miller talk life instead write write already already cynic admirer say book call life hardon time erotic motif impose photographs cheaply irrelevantly old man show apparently try eat bosom israeli actress ziva rodann play pingpong callipygous nude girl sits table look kind puzzle gratified wonder pair fine impertinent breast moon photographs miller serious hat spectacles lawrence durrell horse false moustache wife friend paris also production miller paint one best thing write account black spring learn draw endearingly bright fin de sidele finally miller talk give u hope cigarettesmoking gindrinking octogenarian fine advertisement longevital virtue regular sex book mere plaything playboy thing wise fit summation glossy toy might lull reader take miller seriously ought miller spent long industrious life grind slow exceed fine also coarse world literary figure proper ask whereapart longbanned candorhis achievement lie shall compare himlawrence joyce beckett important create world recognizably really create lack archi tectonic skill make shape drive one real subjecthimselfand prepare endowed ability convert great fictional myth call novelist novelist ear eye novelist power create great separable artifact do man endowments deficiency force produce autobiography begs door fiction durrell think miller lifework best confessional writing since rousseau probably right frank selfexposure one small part rousseau achievement social contract emile new heloise well moreover thing miller confesses somewhat limited honest subtle thinker conceive joy engage personality lack complexity sensibility somewhat coarse ingenuousness though often charm charm less often meet rereading gibbon autobiography foil miller intellectual excitement experience inevitably shrivel phallic visceral appeal tropic production schocilboy name seam plexus nexus humor well physical honesty one ounce wit george orwell pay fine tribute miller ask reader thirty note tropic cancer even late date could still do english language orwell saw miller many u saw thena liberate force cleanser dialect tribe much more_cleansing liberate orwell paris london convert art suffering low life share miller die early 40 raioduced genuide prophecy industry longevity substitute genius
A Church Is Threatened With Prosecution Over Sex Education,https://www.nytimes.com/1972/01/02/archives/a-church-is-threatened-with-prosecution-over-sex-education.html,brookfield wis jan 1a unitarian church milwaukee suburb threaten criminal prosecution explicit nature sex education course yet start letter church week district attorney richard mcconnell waukesha county ] say church start program without first establish ground rule office prosecution could result mr mcconnell say concerned may violation wisconsin obscenity statutes unitarian church west ] announce detail 40week course sunday school ] curriculum three week ago course schedule start february limit 15 student 12 14 year old boys girl take course together birch society strong course arouse considerable opposition middleclass suburb sex education public school fought conservative group include john birch society strong petition oppose church course sign 514 person file brookfield city council council yet decide whether could intervene matter mr mcconnell say saw legal barrier take action church say constitulion provide freedom religious instruction nobody hide behind rev robert c moore minister church say doubt state could stop program would meet mr mcconnell next week course entitle sexuality prepared unitarian universalist association headquarters boston use unitarian church country mr moore say knew similar opposition elsewhere film show intercourse many criticism course apparently aim la film strip show couple intercourse defend film strip booklet course state omission explicitly sexual visuals serve enhance concept sex dirty sinful forbidden film strip part course use unitarian church course also include explicit film strip male female anatomy homosexual behavior masturbation course treat homosexuality valid form sexual expression describe one viable life pattern emphasize person experience homosexual attraction contact without consider true homosexual course also encourage masturbation beneficial way relieve sexual tension state protects young people leap sexual experience partner love satisfy sexual need birth control discuss phase course birth control discuss information variety method conception prevent abortion conception childbirth venereal disease describe mr moore say course design teach sex frank honesty frank complete kid wont listen mr moore say youve get show lay say whats wrong sex marriage say well one reason kid listen men woman instructor spend 60 hour learn teach course say mr moore say course design allow child develop clarify value attitude sex sexuality could integrate whole personality say sex act part probably spend time discuss girl cant play little league baseball say
"Don't Call Them ‘Rev. and Mrs.’ Church's Pastor, Too",https://www.nytimes.com/1972/01/05/archives/dont-call-them-rev-and-mrs-shes-churchs-pastor-too.html,scranton pathere two pastor 600member trinity congregational church take turn preach alternate sunday share neighbpring rectory receive equal salary check pension payment also think alike subject although approach often quite different one time dissimilarities source concern five month first parish john barbara gerlach mack realize although man wife also individual reflect plurality life rather united front much viewpoint different style thing different area expertise different way meeting people say barbara mack 25yearold hood college graduate chose religion teach spending summer presbyterian conference center new mexico 29yearold john mack grow new canaan conn midst everything lot people work get difference style character trait prove invaluable person meet u would hook u differently say barbara let thing happen well organize thing mack meet study union theological seminary graduate last may take united church christ congregation august mr mack bring united church christ mr mack raise presbyterian agree acceptance parishioner welsh background wonderful copastors involve every service one preach conduct prayer childrens sermon make announcement discernible difference attendance two 250 active churchgoer congregation feel though people cant hear well hear john mr mack say feel john authority really sense people continue one two say yon preach good john mr mack interject barbaras sermon work well organize well delivered mine note stuff irksome reflex kind thing men still come say almost walk around barbara pat head call honey dear kind thing rare member congregation usually introduce two minister letter usually address rev john rev barbara mack join woman fellowship receive 5000 annual salary plus housing utility travel pastoral benefit although mrs mack invite often husband generally consider womens activity sometimes go sometimes dont go minister minister wife join woman fellowship john first man history belong mr mack say socially conscious group tend conscience church go meeting go together big problem come clergy mr mack say christmas card clergy address rev mr recall graduation nowhere church conference get sense anyone encourage idea team find vacancy give church conference dossier hear nothing mr mack say got list vacancy investigate op find quite interested u turn five six reason pick one urban open team pretty excite idea couple prefer know john barbara parishion er indicate would rather use first name feel uncomfortable child address clergy manner tell use whatever form prefer date unfavorable comment decision wear clearical robe mrs mack favor short skirt boot week wear one sedate dress sunday service mr mack wear business suit think people want wear robe basically wrong reason mrs mack say somehowthe robe set apart one thing feel strongly ordinary people someone set apart special handle truth weve special training thats agree course action make easy preached candidate sermon hot summer month one expect u wear robes mr mack outline attitude see professional give field talent scriptures train help people special mystique say would destructive person one big personal conflict weve individual say certain expectation people mrs mack say people feel strongly minister suppose super leaden strong people answer minister difficult show weaknets vulnerability congregation minister able think humanize attitude parent mrs mack whose parent live topton pa father supervisor western electric say think would much happier see go teach didnt understand position supportive say think still feel wear offthat prove ill settle traditional role wife mother mr mack attend phillips exeter academy princeton making decision go ministry knew didnt want follow father profession investment counselor work get money put nice position want fully engage say wanted feeling try make sense experience part make sense decision arrive jointly housework well professional duty would share first marry really uptight mr mack recall think housework job gradually decide wasnt dont list mr mack say go john usually iron watch football mr mack say ill wash kind pick slack person moment household chore share three young men share sevenroom rectory meeks men process find job go training program need temporary home id like church become active community mr mack say specifically cite care age youth program mrs mack already investigated possibility day care church mention deacon dont think knew say ok exploratory study would also like see clergy consultation service abortion counsel hasnt come discussion yet like work kid say focus life experience life death birth try make feel religion special segment life try understand mean thing happen deep way moment principal problem cut 60 70hour work week schedule find necessary church function well got also interest community weve tell must make time plan take day week mr mack say continued almost immediately want start vision group church little dreaming might
Judge Acts to Stay Abortions in Municipal Hospitals,https://www.nytimes.com/1972/01/06/archives/judge-acts-to-stay-abortions-in-municipal-hospitals.html,temporary injunction prevent abortion municipal hospital issue yesterday justice franics x smith state supreme court queen effective pending sign order justice smith expect day two ban abortion could halt appeal city mayor lindsay later issue follow statement direct corporaition counsel move switfly ito appeal injunction soon issue would tragic consequence court decision abortion available afford pay voluntary proprietary hospital city everything power secure reversal insensitive discriminatory court order background case first rule state supreme court state liberalize abortion law justice smith assert fetus living human court always zealous protect right oft hose unable protect ruling grow case justice smith bring dec 9 robert byrn 40yearold bachelor law professor fordham university bring suit abortion city hospital name special guardian unborn child rule queen supreme court justice lester holtzman decision also deny motion change venue manhattan set jan 12 date begin first trial state test constitutionality state abortion law law permit operation woman discretion 24th week pregnancy 21page decision justice smith cite declaration independence 14th amendment constitution numerous medical legal source call ban pending outcome constitutional test concern medical source fetus less 24 week old justice say credence must therefore give testimony affidavit form plaintiff accredit scientist unborn human infant pulsate human heart stage development child brain spinal cord entire nervous system establish medical fact fetus living human
"ABORTION, IMPACT ASSAYED IN STUDY",https://www.nytimes.com/1972/01/06/archives/abortion-impact-assayed-in-study-expert-sees-little-change-in.html,washington jan 5 upi legalization abortion every state would little initial impact population growth could curb rise national rate illegitimate birth say unpublished study prepare presidential panel dr christopher tietze new york associate director population council write study say lbased projection legal abortion perform new york city since mid1970 dr tietze widely recognize statistical authority birth control write first year nationwide legalize abortion request law similar alaska hawaii new york washington state estimate 1630000 woman would want abortion predict birth rate would decline 15 per thousand population decrease 300000 350000 birth nationwide first year government estimate 1971 birth rate 174 per thousand population close record low base experience new york city dr tietze say legalized abortion would little effect birth rate possibly many 80 per cent woman seek abortion would perform illegally necessary terminate pregnancy dr tietzes study one several authorize commission population growth american future expect report president nixon next spring impact population growth upon economy environment government one panel goal consider population growth explicity formulate policy future initial demographic impact liberalize abortion law comparatively minor dr tietze write similarly modest initial effect may expect nationwide restrictive abortion law strike supreme court replace legislation true primarily write great majority legal abortion new york city resident involve pregnancy without legalization would terminate illegal abortion pattern dr tietze say could expect hold true throughout country
City Will Move to Prevent a Ban on Abortions,https://www.nytimes.com/1972/01/07/archives/city-will-move-to-prevent-a-ban-on-abortions.html,health hospital corporation say yesterday immediate future leastthere would disruption abortion service municipal hospital possibility arise wednesday justice francis x smith state supreme court queen issue temporary injunction block abortion city hospital injunction go effect sign order file county clerk serve hospital corporation time citys corporation counsel state attorney general louis j lekowitz file appeal immediately stay injunction action expect take morning 1000 woman currently await abortion municipal hospital operate health hospital corporation outcome trial issue next move halt abortion would make plaintiff case robert byrn courtappointed guardlan unborn fetus seek ultimately void state abor tion law unconstitutional mr byrn would ask appellate division vacate automatic stay news conference yesterday mr byrn show newsman color slide intact mutilated fetus say kill abortion 40yearold roman catholic bachelor refuse say response city anticipate appeal might however mr byrn professor fordham law school say necessary prepared take case united state supreme court trial test conistitutionality state law schedule begin queen court next wednesday attorney general lefkowitz say interview yesterday would everything power preserve state law permit abortion initiative woman doctor 24th week pregnancy another news conference yesterday member womens right group attack preliminary injunction discriminate poor affront woman open conspiracy catholic hierarchy prevent woman control body nancy stearns lawyer center constitutional right say themjunction take effect would demand mr byrn put 40000 bond woman force child statement issue yesterday national association repeal abortion law say roman catholic judge initiate disgraceful incident judicial history follow religious dogma decide case court law grant injunction justice smith assert fetus living human entitle court protection
Metropolitan Briefs,https://www.nytimes.com/1972/01/08/archives/metropolitan-briefs.html,nursing home employes union reach agreement guild new york nursing home new contract yesterday even oneday walkout three private nursing facility 600 patient peter ottley president nurse division local 144 service employes union say representative guild home sign contract identical one sign large metropolitan new york nursing home association yesterday morning contract report include raise next 35 month 52 basic 12118 nonprofessional worker earn 36hour week establishment dental plan free drug program plus fringe benefit 2 agency say charge abortionreferral fee attorney general louis j lefkowitz charge two abortionreferral agency new york city collect fee refer pregnant woman abortion clinic violation state law sps consultant inc 565 fifth avenue two officer peter l stolberg william patent pregnancy counsel service inc 26 west ninth street dorn leslie winter director randoif wedler employe say illegally accept fee 75 woman refer clinic new york city abortion attorney general obtain court order returnable jan 12 order two agency show cause bar violate statute hong kong flu report nassau county eleven case hong kong flu spread metropolitan area report nassau county accord david h ross deputy health commissioner county first time case report nassau since first appear country 1968 public health official however maintain epidemic influenza country city dismisses aide deleading program citywide coordinator deleading work citys emergency repair program dismiss albert walsh housing development administrator ellegedly accept 500 two contractor coordinator employ city since august 1970 ralph brandel 40 year old 2120 cruger avenue bronx robert k ruskin commissioner investigation say coordinator discharge take 500 two emergency repair contractor exchange give contract repair building lead paint wall mr brandel also charge take 100 landlord return coordinator assistance expedite removal lead paint violation building yonkers school strike nearer settlement strike yonkers federation teacher end fifth day progress report attempt settle dispute salary class size issue 6000 city 30000 student attend 43 school staff several hundred teacher aide certify substitute parent volunteer eugene fox yonkers corporation counsel say hoped start contemptofcourt proceeding union leader next week top u mediator enters phone talk j curtis count national director federal mediation conciliation service meet privately representative new york telephone company 23 state local communication worker america effort end strike 26th week telephone strike begin july 14 33500 installers repairman switchman linemen walk job refuse contract offer would give 335per cent increase lindsay quits head mayor committee mayor lindsay announce resigned chairman legislative action committee united state conference mayor mayor however say would continue serve member committee tour 10 major city last year dramatize urban problem letter conference chairman mayor henry w maier milwaukee mr lindsay say candidate presidency felt effort committee would construe political remain chairman
Letters to the Editor,https://www.nytimes.com/1972/01/09/archives/approach-to-family-planning.html,editor expect nothing radical pragmatic weigh abortion life christian minister like jesse lyon riverside church whose letter dec 23 attack robert byrn irresponsible test state abortion law church united broad campaign exhort family include least one child adoption approach family planning widely accept could work empty institution unwanted child might abort well socalled hardtoadopt child minority background old child handicap one let mr lyon rest u wait medical science [ ] put abortion issue shelf allow guilty irresponsible ethical evasion explore honestly generously possibilities beyond whole spectrum social service susanne washburn new york dec 27 1971
